Tbl_ID,im_id,title,releasedYear,Genre,Director,Writter,actors,moviePlot,PreprocessedPlot,imdb_votes,imdb_rating,keywords,PolarityConfidence,cluster
11,tt0021749,City Lights,1931,"Comedy, Drama, Romance",Charles Chaplin,Charles Chaplin,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia",A tramp falls in love with a beautiful blind girl. Her family is in financial trouble. The tramp's on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,tramp fall love beautiful blind girl family financial trouble tramp onandoff friendship wealthy man allows girl benefactor suitor,130102,8.6," tramp fall, girl family, financial trouble tramp, friendship wealthy man, girl benefactor suitor",100,0
12,tt0021814,Dracula,1931,"Fantasy, Horror",Tod Browning,"Bram Stoker (by), Hamilton Deane (from the play adapted by), John L. Balderston (from the play adapted by), Garrett Fort (play)","Bela Lugosi, Helen Chandler, David Manners, Dwight Frye","After a harrowing ride through the Carpathian mountains in eastern Europe, Renfield enters castle Dracula to finalize the transferral of Carfax Abbey in London to Count Dracula, who is in actuality a vampire. Renfield is drugged by the eerily hypnotic count, and turned into one of his thralls, protecting him during his sea voyage to London. After sucking the blood and turning the young Lucy Weston into a vampire, Dracula turns his attention to her friend Mina Seward, daughter of Dr. Seward who then calls in a specialist, Dr. Van Helsing, to diagnose the sudden deterioration of Mina's health. Van Helsing, realizing that Dracula is indeed a vampire, tries to prepare Mina's fiance, John Harker, and Dr. Seward for what is to come and the measures that will have to be taken to prevent Mina from becoming one of the undead.",harrowing ride carpathian mountain eastern europe renfield enters castle dracula finalize transferral carfax abbey london count dracula actuality vampire renfield drugged eerily hypnotic count turned thrall protecting sea voyage london sucking blood turning young lucy weston vampire dracula turn attention friend mina seward daughter dr seward call specialist dr van helsing diagnose sudden deterioration mina health van helsing realizing dracula indeed vampire try prepare mina fiance john harker dr seward come measure will taken prevent mina becoming undead,37918,7.6," harrowing ride, carpathian mountain, europe renfield enters, transferral carfax abbey london, count dracula actuality, vampire renfield, eerily hypnotic count, thrall protecting, sea voyage, sucking blood turning, young lucy weston vampire, dracula turn, attention friend, seward daughter dr, seward call specialist, dr van, sudden deterioration mina health, van helsing, realizing dracula, vampire try, prepare mina fiance, john harker, come measure, mina becoming",97.1429,1
13,tt0021884,Frankenstein,1931,"Drama, Horror, Sci-Fi",James Whale,"John L. Balderston (based upon the composition by), Mary Shelley (from the novel by), Peggy Webling (adapted from the play by), Garrett Fort (screen play), Francis Edward Faragoh (screen play), Richard Schayer (scenario editor)","Colin Clive, Mae Clarke, John Boles, Boris Karloff",Henry Frankenstein is a doctor who is trying to discover a way to make the dead walk. He succeeds and creates a monster that has to deal with living again.,henry frankenstein doctor trying discover way make dead walk succeeds creates monster deal living,54582,7.9," henry frankenstein doctor, discover way, dead walk, creates monster, deal living",100,8
14,tt0022100,M,1931,"Crime, Drama, Mystery",Fritz Lang,"Thea von Harbou (script), Fritz Lang (script)","Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke","In Germany, Hans Beckert is an unknown killer of girls. He whistles Edvard Grieg's 'In The Hall of the Mountain King', from the 'Peer Gynt' Suite I Op. 46 while attracting the little girls for death. The police force pressed by the Minister give its best effort trying unsuccessfully to arrest the serial killer. The organized crime has great losses due to the intense search and siege of the police and decides to chase the murderer, with the support of the beggars association. They catch Hans and briefly judge him.",germany han beckert unknown killer girl whistle edvard grieg hall mountain king peer gynt suite op attracting little girl death police force pressed minister give best effort trying unsuccessfully arrest serial killer organized crime great loss due intense search siege police decides chase murderer support beggar association catch han briefly judge,113605,8.4," germany han, unknown killer girl, hall mountain, king peer, gynt suite, girl death police force pressed, minister give best effort, serial killer, organized crime, great loss, intense search siege police decides, murderer support beggar association, catch han briefly",94.5455,3
15,tt0022395,The Skin Game,1931,Drama,Alfred Hitchcock,"John Galsworthy (a talking film by), Alfred Hitchcock (adaptation), Alma Reville (scenario)","C.V. France, Helen Haye, Jill Esmond, Edmund Gwenn","A rich family, the Hillcrests, is fighting against the speculator, Hornblower, who sends away poor farmers to build factories on their lands. When Mrs. Hillcrest finds out that Chloe Hornblower was a prostitute, she uses this secret to blackmail the speculator and force him to stop his business.",rich family hillcrests fighting speculator hornblower sends away poor farmer build factory land mr hillcrest find chloe hornblower prostitute us secret blackmail speculator force stop business,2372,5.8," rich family hillcrests fighting, speculator hornblower, away poor farmer, build factory land, mr hillcrest find, chloe hornblower prostitute, secret blackmail speculator force, stop business",100,8
16,tt0022958,Grand Hotel,1932,"Drama, Romance",Edmund Goulding,"Vicki Baum (by), William Absalom Drake (play)","Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery","Berlin's plushest, most expensive hotel is the setting where in the words of Dr. Otternschlag ""People come, people go. Nothing ever happens."". The doctor is usually drunk so he missed the fact that Baron von Geigern is broke and trying to steal eccentric dancer Grusinskaya's pearls. He ends up stealing her heart instead. Powerful German businessman Preysing brow beats Kringelein, one of his company's lowly bookkeepers but it is the terminally ill Kringelein who holds all the cards in the end. Meanwhile, the Baron also steals the heart of Preysing's mistress, Flaemmchen, but she doesn't end up with either one of them in the end...",berlin plushest expensive hotel setting word dr otternschlag people come people go nothing ever happens doctor usually drunk so missed fact baron von geigern broke trying steal eccentric dancer grusinskayas pearl end up stealing heart instead powerful german businessman preysing brow beat kringelein company lowly bookkeeper terminally ill kringelein hold card end meanwhile baron also steal heart preysings mistress flaemmchen doesnt end up either end,14552,7.6," plushest expensive hotel, setting word, dr otternschlag people, come people go, happens doctor, so missed fact, baron von, geigern broke, trying steal, eccentric dancer grusinskayas pearl end, stealing heart, german businessman, preysing brow, beat kringelein, terminally ill kringelein, card end meanwhile baron, also steal heart, preysings mistress flaemmchen, doesnt end",70,2
17,tt0023285,Number 17,1932,"Crime, Mystery, Thriller",Alfred Hitchcock,"Joseph Jefferson Farjeon, Joseph Jefferson Farjeon (play), Alma Reville (scenario), Alfred Hitchcock (scenario), Rodney Ackland (scenario)","Leon M. Lion, Anne Grey, John Stuart, Donald Calthrop","Detective Gilbert is searching for a necklace robbed by a gang of thieves. In the beginning, the gang is in a house in London, then they are running away from police. It will not be easy for the detective to recover the jewel.",detective gilbert searching necklace robbed gang thief beginning gang house london running away police will not easy detective recover jewel,3769,5.8," detective gilbert, searching necklace robbed, gang thief, beginning gang, house london, detective recover jewel",10,3
18,tt0023395,East of Shanghai,1931,"Comedy, Romance, Thriller",Alfred Hitchcock,"Dale Collins (novel), Alfred Hitchcock (adaptation), Alma Reville, Val Valentine","Henry Kendall, Joan Barry, Percy Marmont, Betty Amann",Fred and Emily Hill are leading a boring life in London. They receive a big inheritance by a rich relative and now they can realize all their dreams. They leave for a cruise behaving as rich people....but this is the beginning of the end. Richness makes they soon forget their love and family.,fred emily hill leading boring life london receive big inheritance rich relative now can realize dream leave cruise behaving rich people beginning end richness make soon forget love family,3355,5.9," boring life, big inheritance, rich relative, realize dream leave, cruise behaving, rich people, end richness, love family",100,0
19,tt0023876,Cavalcade,1933,"Drama, Romance, War",Frank Lloyd,"Reginald Berkeley (screen play), Sonya Levien (continuity)","Diana Wynyard, Clive Brook, Una O'Connor, Herbert Mundin","A cavalcade of English life from New Year's Eve 1899 until 1933 seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War, the death of Queen Victoria, the sinking of the Titanic and the Great War.",cavalcade english life new year eve seen eye welltodo londoner jane robert marryot amongst event touching family boer war death queen victoria sinking titanic great war,3577,6," cavalcade english life, new year, seen eye, welltodo londoner jane, robert marryot, amongst event, touching family, boer war death, queen victoria, great war",66.6667,2
20,tt0023969,Duck Soup,1933,"Comedy, Musical, War",Leo McCarey,"Bert Kalmar (story), Harry Ruby (story), Arthur Sheekman (additional dialogue), Nat Perrin (additional dialogue)","The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx","The country of Freedonia is in the middle of a financial crisis and on the brink of revolution. In order to gain a bail-out from the wealthy Mrs Teasdale, the government appoints Rufus T Firefly as its president. However, Mr Firefly shuns the pomp and pretentiousness of government; along with the prudence and rationality of it too. Meanwhile, the neighbouring country of Sylvania is plotting to overthrow Freedonia and sends Pinky and Chicolini to spy on Firefly. War seems inevitable.",country freedonia middle financial crisis brink revolution order gain bailout wealthy mr teasdale government appoints rufus  firefly president however mr firefly shuns pomp pretentiousness government along prudence rationality meanwhile neighbouring country sylvania plotting overthrow freedonia sends pinky chicolini spy firefly war seems inevitable,50028,8," country freedonia middle, financial crisis brink revolution, order gain bailout, wealthy mr, teasdale government appoints rufus, firefly president, firefly shuns, pretentiousness government, prudence rationality, meanwhile neighbouring country, plotting overthrow, freedonia sends pinky chicolini, spy firefly war",96,0
21,tt0024852,Babes in Toyland,1934,"Comedy, Family, Fantasy","Gus Meins, Charley Rogers","Frank Butler (screen play), Nick Grinde (screen play)","Virginia Karns, Charlotte Henry, Felix Knight, Florence Roberts","Ollie Dee and Stanley Dum try to borrow money from their employer, the toymaker, to pay off the mortgage on Mother Peep's shoe and keep it and Little Bo Peep from the clutches of the evil Barnaby. When that fails, they trick Barnaby into marrying Stanley Dum instead of Bo Peep. Enraged, Barnaby unleashes the bogeymen from their caverns to destroy Toyland.",ollie dee stanley dum try borrow money employer toymaker pay off mortgage mother peep shoe keep little bo peep clutch evil barnaby fails trick barnaby marrying stanley dum instead bo peep enraged barnaby unleashes bogeyman cavern destroy toyland,5046,7.4," ollie dee stanley, dum try, borrow money, employer toymaker, mother peep shoe, bo peep clutch evil, barnaby fails, trick barnaby marrying, stanley dum, instead bo peep, enraged barnaby, unleashes bogeyman cavern destroy",100,0
22,tt0025316,It Happened One Night,1934,"Comedy, Romance",Frank Capra,"Robert Riskin (screen play), Samuel Hopkins Adams (based on the short story by)","Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns","Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what (he thinks!) he wants .... a really juicy newspaper story.",ellie andrew just tied knot society aviator king westley whisked away father yacht king clutch ellie jump ship eventually wind up bus headed back husband reluctantly must accept help outof work reporter peter warne actually warne doesnt give choice either stick get back husband hell blow whistle ellie father either way peter get think want really juicy newspaper story,77494,8.1," ellie andrew, knot society aviator king, westley whisked, away father yacht, king clutch, ellie jump ship, bus headed, accept help outof, work reporter peter, give choice, stick get, husband hell, whistle ellie father, way peter, really juicy newspaper",100,0
23,tt0025878,The Thin Man,1934,"Comedy, Crime, Mystery",W.S. Van Dyke,"Albert Hackett (screen play), Frances Goodrich (screen play), Dashiell Hammett (from the novel by)","William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton","After a four year absence, one time detective Nick Charles returns to New York with his new wife Nora and their dog, Asta. Nick re-connects with many of his old cronies, several of whom are eccentric characters, to say the least. He's also approached by Dorothy Wynant whose inventor father Clyde Wynant is suspected of murdering her father's mistress (his former secretary ).. Her father had left on a planned trip some months before and she has had no contact with him. Nick isn't all that keen on resuming his former profession but egged-on by wife Nora, who thinks this all very exciting, he agrees to help out. He solves the case, announcing the identity of the killer at a dinner party for all of the suspects.",four year absence time detective nick charles return new york new wife nora dog asta nick reconnects many old crony several eccentric character say least he also approached dorothy wynant whose inventor father clyde wynant suspected murdering father mistress former secretary father left planned trip month no contact nick isnt keen resuming former profession eggedon wife nora think very exciting agrees help solves case announcing identity killer dinner party suspect,22319,8.1," year absence time, nick charles, new wife nora dog, nick reconnects, old crony, eccentric character, dorothy wynant, inventor father clyde, wynant suspected, former secretary father left, planned trip month, keen resuming, former profession eggedon wife, nora think, very exciting agrees, help solves, case announcing, identity killer dinner, party suspect",100,0
24,tt0026029,The 39 Steps,1935,"Mystery, Thriller",Alfred Hitchcock,"John Buchan (adapted from the novel by), Charles Bennett (adaptation), Ian Hay (dialogue)","Robert Donat, Madeleine Carroll, Lucie Mannheim, Godfrey Tearle","Richard Hannay is a Canadian visitor to London. At the end of ""Mr Memory""'s show in a music hall, he meets Annabella Smith who is running away from secret agents. He accepts to hide her in his flat, but in the night she is murdered. Fearing he could be accused on the girl's murder, Hannay goes on the run to break the spy ring.",richard hannay canadian visitor london end mr memory  show music hall meet annabella smith running away secret agent accepts hide flat night murdered fearing accused girl murder hannay go run break spy ring,43671,7.8," richard hannay, canadian visitor, london end mr memory, show music hall, meet annabella smith, away secret agent, accepts hide flat night, girl murder hannay go, break spy ring",100,1
25,tt0026138,Bride of Frankenstein,1935,"Drama, Horror, Sci-Fi",James Whale,"Mary Shelley (suggested by: the original story written in 1816 by), William Hurlbut (adapted by), John L. Balderston (adapted by), William Hurlbut (screenplay)","Boris Karloff, Colin Clive, Valerie Hobson, Ernest Thesiger","Dr. Frankenstein and his monster both turn out to be alive, not killed as previously believed. Dr. Frankenstein wants to get out of the evil experiment business, but when a mad scientist, Dr. Pretorius, kidnaps his wife, Dr. Frankenstein agrees to help him create a new creature, a woman, to be the companion of the monster.",dr frankenstein monster turn alive not killed previously believed dr frankenstein want get evil experiment business mad scientist dr pretorius kidnaps wife dr frankenstein agrees help create new creature woman companion monster,36228,7.9," dr frankenstein monster, dr frankenstein, want get, evil experiment business, mad scientist dr pretorius, kidnaps wife, dr frankenstein agrees, new creature woman companion",97.1429,8
26,tt0026752,Mutiny on the Bounty,1935,"Adventure, Biography, Drama",Frank Lloyd,"Talbot Jennings (screenplay), Jules Furthman (screenplay), Carey Wilson (screenplay), Charles Nordhoff (book), James Norman Hall (book), Margaret Booth","Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin","Midshipman Roger Byam joins Captain Bligh and Fletcher Christian aboard HMS Bounty for a voyage to Tahiti. Bligh proves to be a brutal tyrant and, after six pleasant months on Tahiti, Christian leads the crew to mutiny on the homeward voyage. Even though Byam takes no part in the mutiny, he must defend himself against charges that he supported Christian.",midshipman roger byam join captain bligh fletcher christian aboard hm bounty voyage tahiti bligh prof brutal tyrant six pleasant month tahiti christian lead crew mutiny homeward voyage even though byam take no part mutiny must defend charge supported christian,17840,7.8," midshipman roger byam, join captain bligh fletcher, christian aboard hm bounty, voyage tahiti, bligh prof brutal, pleasant month tahiti, christian lead crew, mutiny homeward voyage, byam take, part mutiny, defend charge supported",100,5
27,tt0027125,Top Hat,1935,"Comedy, Musical, Romance",Mark Sandrich,"Dwight Taylor (screen play), Allan Scott (screen play), Dwight Taylor (story)","Fred Astaire, Ginger Rogers, Edward Everett Horton, Erik Rhodes","Showman Jerry Travers is working for producer Horace Hardwick in London. Jerry demonstrates his new dance steps late one night in Horace's hotel, much to the annoyance of sleeping Dale Tremont below. She goes upstairs to complain and the two are immediately attracted to each other. Complications arise when Dale mistakes Jerry for Horace.",showman jerry travers working producer horace hardwick london jerry demonstrates new dance step late night horace hotel much annoyance sleeping dale tremont go upstairs complain two immediately attracted complication arise dale mistake jerry horace,14712,7.8," showman jerry travers, working producer, horace hardwick london, jerry demonstrates new, dance step, night horace hotel, much annoyance, dale tremont, upstairs complain, immediately attracted complication, dale mistake jerry horace",85.7143,0
