imdb,quote,title
113277,... a colossal disappointment.,Heat
113277,If theres one thing Michael Mann knows how to do its create tension.,Heat
113277,Heat generates lots of energy but gives off little light.,Heat
113277,As with his other works [Mann] binds sound music and pictures into one hypnotic triaxial cable and plugs it right into your brain. He makes this almost-three-hour experience practically glide by.,Heat
113277,Boosters and touts use the term major movie so often that its more likely to generate yawns than excitement at this point. Back to basics. Heat is a major movie. With major stars. Doing major acting.,Heat
113277,This is the first time De Niro and Pacino have acted together and each gives a strong watertight performance.,Heat
113277,The cop/ crime stuff that makes up the bulk of the movie is well thought out and well directed.,Heat
113277,Heat has an impressively strong script by Mann and he backs it up with gorgeous filmmaking.,Heat
113277,Heat is an epic that feels like a stunt.,Heat
47437,This is never less than glittering entertainment but somehow a certain measure of lead has found its way into the formula.,Sabrina
47437,Script is long on glibly quipping dialog dropped with a seemingly casual air and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.,Sabrina
47437,Wilders tastelessness now seems his major artistic strength.,Sabrina
47437,Its a Cinderella story that gets turned on its head a satire about breaking down class and emotional barriers and a confrontation between New World callousness and Old World humanity.,Sabrina
47437,Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming delightfully romantic variation of the Cinderella story.,Sabrina
47437,It is a story as light as a feather and as old as yesterdays news as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.,Sabrina
112302,A joyless lump.,Tom and Huck
114576,Reuniting Hyams and Van Damme director and star of Timecop this spectacular nail-biter exploits their combined if limited abilities to the full.,Sudden Death
114576,Offers above-average pyrotechnics a body count that steadily mounts and plenty of hand-to-hand combat.,Sudden Death
114576,Sudden Death is one of the best action thrillers of 1995. Its also the film Jean-Claude Van Damme has been building up to for 10 years.,Sudden Death
114576,Despite the elaborate stunts go-go-go direction from Peter Hyams plus butt-kicking and surprise goalie action from Van Damme Death deserves the hockey-puck booby prize for...getting its jollies by putting kids in jeopardy.,Sudden Death
114576,A treat for Jean-Claude Van Damme fans a superior action thriller loaded with jaw-dropping stunts and special effects and strong in production values.,Sudden Death
114576,Sudden Death isnt about common sense. Its about the manipulation of action and special-effects sequences to create a thriller effect and at that its pretty good.,Sudden Death
114576,Though the climactic duel atop the arena roof is patently absurd its also exciting as events go into sudden-death overtime just like the game being played below.,Sudden Death
114576,Van Damme races against time trying to thwart Boothe and defuse all the bombs. But in the hands of director Peter Hyams these are just banal action-movie chores.,Sudden Death
114576,About the best thing that can be said about this movie is that the action scenes directed by Peter Hyams are choreographed with flair. Unfortunately the material connecting them is worthless.,Sudden Death
113189,Brosnan however looks set to stay. Hell never recapture the amused cool of the young Sean Connery but he does overcome the handicap of looking like a humorless male model.,GoldenEye
113189,I dont know whether the Bond series has a future but if Xenia Onatopp ever returns to try for world domination he may finally get a battle worth fighting.,GoldenEye
113189,Theres something a mite pathetic about our culture still clinging to 007 but its hard to deny that this is one of the most entertaining entries in the Bond cycle.,GoldenEye
113189,Richard Kiel you are missed.,GoldenEye
113189,Among the better of the 17 Bonds and perhaps more important for todays audience a dynamic action entry in its own right this first 007 adventure in six years breathes fresh creative and commercial life into the 33-year-old series.,GoldenEye
113189,Director Campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films.,GoldenEye
113189,Suffers the blahs.,GoldenEye
113189,Supercharged with spectacular thundering brain-numbing fun.,GoldenEye
113189,They have given James a new car here but its the same old vanity plate the one that should read: Je Me Souviens.,GoldenEye
113189,A reasonable facsimile more than any kind of original and its hard not to feel a certain weariness while watching it unfold.,GoldenEye
113189,Its BS -- Babes and Stunts -- and thats where GoldenEye excels.,GoldenEye
113189,Directed with top-dollar proficiency (and some real wit).,GoldenEye
113189,Perhaps the best entry in the series since The Spy Who Loved Me.,GoldenEye
113189,Watching the film I got caught up in the special effects and the neat stunts and I observed with a certain satisfaction Bonds belated entry into a more modern world.,GoldenEye
112346,Part romantic comedy part Capra-corny political drama this movie exudes so much sympathy it sweats.,The American President
112346,With great looks a dandy supporting cast a zinger-filled screenplay by Aaron Sorkin and Mr. Douglas twinkling merrily in the Oval Office The American President is sunny enough to make the real Presidency pale by comparison.,The American President
112346,Genial and entertaining if not notably inspired.,The American President
112346,Genial middlebrow fare that coasts a long way on the charm of its two stars.,The American President
112346,As bustling and impassioned as the best Sturges and Capra movies.,The American President
112346,Neither bad nor unwatchable The American President is nevertheless the second straight disappointment from director Rob Reiner.,The American President
112346,You cant dislike this movie but you wont be swept away by it either.,The American President
112346,The American President will make you laugh and make you smile. But it probably wont make you change your vote.,The American President
112346,A shrewd new depiction of office sex as well as an utterly positive view of the idea that a presidents character is important.,The American President
112346,Apart from its too-obvious political bias The American President has romance in its heart smarts in abundance and class to spare.,The American President
112346,Great entertainment.,The American President
112346,A well-modulated charmer.,The American President
112346,The American President becomes a pretty darn entertaining and affecting movie after its first simpering 20 minutes.,The American President
112346,Frothy.,The American President
112346,Capraesque has inevitably been affixed to The American President but that phrase with its implications of facile hokum doesnt do the film justice.,The American President
112346,Painless fun.,The American President
112346,A super cast injects it with Teddy Roosevelt vitality.,The American President
112346,When it comes right down to it high office does not guarantee high comedy.,The American President
112346,The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas wearing a fast-break smile in place of his usual frown strikes a tender rapport with Bening...,The American President
112896,Either this is the lamest Mel Brooks comedy ever or its too close to other contenders to make much difference.,Dracula - Dead and Loving It
112896,The only real sparks are set off by MacNicol as Renfield the solicitor who develops a taste for flies and spiders after being bitten by Dracula.,Dracula - Dead and Loving It
112896,Brooks as Van Helsing is one of the more successful aspects but he hasnt imbued in his stock company a similar ability to rise above their underwritten roles.,Dracula - Dead and Loving It
112896,Slight but amusing.,Dracula - Dead and Loving It
112896,Not to venture forth some sort of radical idea but arent comedies supposed to have jokes?,Dracula - Dead and Loving It
112896,Its a toothless parody that misses more often than it hits.,Dracula - Dead and Loving It
112896,This time unfortunately hes sucking on a dry vein.,Dracula - Dead and Loving It
112896,If any movie proves that Mel Brooks genius for skewering creaky genres has evaporated its this anemic attempt to draw new blood from low-flying vampire high jinks.,Dracula - Dead and Loving It
112896,Dracula is anemic and mediocre with only one or two moments to remind you of the former funnier Brooks.,Dracula - Dead and Loving It
112896,Nielsen makes a dapper and calmly inept Dracula but its Brooks irrepressible and oblivious Van Helsing whos the main attraction.,Dracula - Dead and Loving It
112453,The love story is pure mush not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.,Balto
113987,As wayward and self-regarding as its subject the film long overstays its welcome.,Nixon
113987,What it finally adds up to is a huge mixed bag of waxworks and daring a film that is furiously ambitious even when it goes flat and startling even when it settles for eerie movie-of-the-week mimicry.,Nixon
113987,Without question Nixon dwarfs everything in the American cinema since Schindlers List.,Nixon
113987,Nixon starts like a horror movie on a dark and stormy night with the president prowling around a room of the White House like Dracula in his lair.,Nixon
113987,Nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of Watergate.,Nixon
113987,Factual or not theres no denying that Nixon has moments when it is nothing short of compelling.,Nixon
113987,Theres no compelling structure or viewpoint to hold the picture together.,Nixon
113987,The problem here isnt accuracy. Its absurdity.,Nixon
113987,Thoughts of Hamlet Macbeth and King Lear come to mind; here again is a ruler destroyed by his fatal flaws. Theres something almost majestic about the process: As Nixon goes down in this film there is no gloating but a watery sigh as of a great ship,Nixon
113987,Thoughtful well-researched and carefully modulated the film also marks director Oliver Stones coming of age.,Nixon
113987,Rich dense and complex.,Nixon
113987,The picture is a case study.,Nixon
113987,Casting Anthony Hopkins was a stroke of unexpected genius.,Nixon
113987,Stones no Shakespeare and neither are his screenwriters.,Nixon
113987,Joan Allen goes beyond her chilling physical resemblance to Pat Nixon toward serious Oscar worthiness.,Nixon
113987,I never felt that I was seeing the darkness reaching out to the darkness as Nixon was once described.,Nixon
113987,Real life if its real Nixon is more dramatic than an Oliver Stone movie.,Nixon
112760,If the sight of half-naked tattooed sailors firing cannons at each other shivers your timbers climb aboard. Even passable pirate movies dont sail by every day.,Cutthroat Island
112641,[Stone] seems to be trying to enter a more passionate movie where a neurotic gold digger could at least have a good time. By the end of Casino for all its craftsmanly bravura you may want to join her.,Casino
112641,So long as Casino stays focused on the excesses -- of language of violence of ambition -- in the life-styles of the rich and infamous it remains a smart knowing if often repetitive spectacle.,Casino
112641,Simultaneously quite watchable and passionless.,Casino
112641,Martin Scorseses intimate epic about money sex and brute force is a grandly conceived study of what happens to goodfellas from the mean streets when they outstrip their wildest dreams and achieve the pinnacle of wealth and power.,Casino
112641,Its not the actors fault that no one is able to break through the films gorgeous but chilly surface. You watch Casino with respect and appreciation reveling in its documentary sense of detail.,Casino
112641,Scorsese may be flailing here but Scorsese flailing is more formidable than most directors at the top of their form.,Casino
112641,The result sadly is that contradiction in terms a dull Scorsese movie.,Casino
112641,Of all the bravura visual effects in Martin Scorseses dazzlingly stylish Casino its a glimpse of ordinary people that delivers the greatest jolt.,Casino
112641,Its an ambitious film but also a scattered unfocused one.,Casino
112641,Visually impressive splendidly performed thematically significant this is a movie in full possession of every key cinematic asset except one -- a solid script.,Casino
112641,[A] Vegas masterpiece.,Casino
112641,Martin Scorsese is a master filmmaker so skilled in the manipulation of imagery he might be the most proficient of active American directors.,Casino
112641,After coming out gangbusters in its first and finest hour the 180-minute movie loses all its chips in the remaining two.,Casino
112641,Martin Scorseses fascinating new film Casino knows a lot about the Mafias relationship with Las Vegas.,Casino
112641,In every way -- from the fantastic sets rich dialogue and unapologetic violence to the well-portrayed characters and themes of loyalty and betrayal -- Casino is pure Scorsese.,Casino
112641,Whether you find it exhilarating expendable or exhausting -- and you will find it exhausting -- Martin Scorseses Casino is the spectacular last word on urban sprawl.,Casino
114388,Thompsons script manages the neat trick of preserving the necessary niceties and decorum of civilized behavior of the time while still cutting to the dramatic quick.,Sense and Sensibility
114388,I cant say I remembered this 1995 feature too clearly a couple of days later; but I certainly had a good time as I watched it.,Sense and Sensibility
114388,Thompson and Winslet give fine performances ably supported by the rest of the ensemble.,Sense and Sensibility
114388,We need no further proof that this material is ageless.,Sense and Sensibility
114388,The sensibility may be a bit off but there is more than enough sense involved in this mid-Atlantic Austen to make up the difference.,Sense and Sensibility
114388,The film is packed with pleasing performances by stage-trained actors.,Sense and Sensibility
114388,Told with deft skill and a pleasantly humorous romantic touch.,Sense and Sensibility
114388,Its bliss.,Sense and Sensibility
114388,A triumph for Taiwans most famous director Ang Lee.,Sense and Sensibility
114388,Thompsons script hits its peak by keeping Austens voice yet finding the satirical smirk behind it.,Sense and Sensibility
114388,Sense and Sensibility is funny expansive and a delight to spend company with.,Sense and Sensibility
114388,The movie is good fun boasting a dozen vivid characters and two that moviegoers will take to heart.,Sense and Sensibility
114388,Sense and Sensibility is an enjoyable film and yet it left me somehow unsatisfied.,Sense and Sensibility
114388,Exquisitely detailed and impeccably acted.,Sense and Sensibility
114388,An exuberant well- crafted film that gets the audience involved on a gut level.,Sense and Sensibility
113101,The results are mainly awful and even Roth got saddled with a mannered part that he cant comfortably play.,Four Rooms
113101,Four of the hottest indie directors--Anders Rockwell Tarantino and Rodrigues--miss a unique opportunity to display their idiosyncratic talents resulting in a tedious anthology in which 2 segments are inept one barely decent and one OK (guess whose),Four Rooms
113101,They should have called this One Room and released it as a Rodriguez short.,Four Rooms
113101,The less said about this career-denting fiasco the better.,Four Rooms
113101,Sounds better than it is.,Four Rooms
113101,Four Rooms has been cut substantially since a disastrous September reception at the Toronto Film Festival though its hard to imagine it running any longer.,Four Rooms
113101,The four segments are widely different in quality. On the useful scale of the Michelin guides one is worth a trip another is worth a detour and the other two are a colossal waste of bandwidth.,Four Rooms
113101,Four Rooms asserts itself as a goof so laboriously and aggressively that you almost feel pinned back in your seat.,Four Rooms
113101,The result is a batch of shrill self-indulgent sketches that turn so wretched in spots you start to wonder if the filmmakers wanted them to be bad.,Four Rooms
113101,The segments are uniformly weak.,Four Rooms
113101,Four Rooms has to be one of 1995s major disappointments.,Four Rooms
112281,Theres so little to watch besides Carrey in fact it makes you actually miss (gasp!) Sean Young from Ace 1.,Ace Ventura - When Nature Calls
113845,Bounces along with a lame script and inconsistent pace.,Money Train
113845,Hardly worth the four-year wait.,Money Train
113845,More viscerally charged than Speed and hipper than Die Hard With a Vengeance the movie is a careening screeching joyride that showers sparks like fireworks.,Money Train
113845,Money Train is a by-the-numbers action-buddy picture and few directors run through those numbers as smoothly as Joseph Ruben.,Money Train
113845,Even if they only charged a token it would be too much.,Money Train
113845,Its stupid but also breezier than the years other 12-score releases not worth a second look.,Money Train
113845,A big noisy headache of a movie...,Money Train
113161,Hollywood has been in love with mobsters since the beginning of movies. But the other side of the equation has seldom been considered. That is until now.,Get Shorty
113161,A drolly offbeat look at Hollywood mores dedicated to the proposition that the best preparation for becoming a film producer is a stint in the criminal underworld.,Get Shorty
113161,An entertaining comedy-thriller adapted by Scott Frank from the Elmore Leonard best-seller and directed with bounce (if not much nuance) by Barry Sonnenfeld.,Get Shorty
113161,Everything clicks.,Get Shorty
113161,Its part of the joke here that Chili is a die-hard cineaste and loves reminiscing about smart stylish tough-guy films he has enjoyed. Get Shorty belongs on that list.,Get Shorty
113161,Its Travolta -- smooth commanding handsome as ever a cool rhythmic bop in his walk -- who owns the film.,Get Shorty
113161,The result is one of the best movies of the year and by far the most entertaining.,Get Shorty
113161,In the category of amiable diversions its awfully tough to improve on.,Get Shorty
113161,Irresistibly charming.,Get Shorty
113161,Minor but amusingly droll.,Get Shorty
113161,One of the pleasures of Get Shorty is watching the way the plot moves effortlessly from crime to the movies - not a long distance since both industries are based on fear greed creativity and intimidation.,Get Shorty
113161,This comic potboiler about gangsters in Hollywood would be a great piece of fun even without Travolta. But as a loan shark from Miami with a charming bedside manner and bigtime movie dreams he raises the fun quotient into the sublime.,Get Shorty
113161,While its quite possible for the cinematically unaware to enjoy this film this is a real treat for movie buffs. The story is as much about the love of motion pictures as it is about gangsters.,Get Shorty
112722,Copycat despite two tough-babe leads to kill for flies in more directions than scattered kitty litter.,Copycat
1186367,A garish and poorly filmed chop-socky frolic that makes about as much sense as an Escher painting viewed through Vaseline-smudged Ray-Bans.,Ninja Assassin
1186367,Perhaps such phenomenal slaughter is best left to the imagination.,Ninja Assassin
1186367,The problem is that the fight sequences -- the only reason anyone sees a movie like this in the first place -- are muddy chaotic and boring. Even diehard fans of this genre would be well advised to skip this one.,Ninja Assassin
1186367,This saga set in Berlin is more committed to its bloodletting than to any of its characters.,Ninja Assassin
1186367,A movie that provides plenty of jolts but precious little pleasure.,Ninja Assassin
1186367,This movie knows exactly what it is: Gonzo silliness about bodies turned into human salsa.,Ninja Assassin
1186367,Shouldnt throwing stars be silent? If theyre gonna sound like gunshots why not just use guns?,Ninja Assassin
1186367,Its a gorefest a borefest and a snorefest.,Ninja Assassin
1186367,Thanks to the movies dire script flat performances and excessively slick tricked-out fight scenes it gets increasingly hard to care about anything that goes on here even when it happens to be visible without the use of night-vision goggles.,Ninja Assassin
1186367,This one is simply a diverting uncommonly violent action flick. No need for an extended critical postmortem. Except to say the Wachowski brothers trademark seems to have turned into a designer brand dedicated to producing inexpensive knockoffs.,Ninja Assassin
1186367,Rain is a very talented slaughterer. He could kill you with a pair of tweezers a hair dryer two bananas whatever. Be glad hes a good ninja.,Ninja Assassin
1186367,When a movies first scene shows one thug getting the top of his head sliced off and another being chopped diagonally in half you know youre not in for much of a dramatic crescendo.,Ninja Assassin
1186367,Whats a recovering ninja assassin to do? Why paint the screen bright red of course. Splatter it on. Were talking streaks and rivers of blood -- bloody swords bloody clothes and my personal favorite bloody stumps.,Ninja Assassin
1186367,Ninja Assassin lives in the moment a visceral gouge of a picture and sections of it move so fast -- and are so intriguingly dimly lit -- that you have to use your imagination a bit to discern whats happening.,Ninja Assassin
1186367,Heads may roll torsos get severed and geysers of blood spurt but no amount of CGId gore can save Assassin from being dramatically lame visually impaired and kinetically flat-footed.,Ninja Assassin
1186367,The credits for Ninja Assassin list two screenwriters and one director. But its fair to say the movie has come straight out of a box.,Ninja Assassin
1186367,This amateurish action flick is so lacking in personality or punch it ought to be titled V for Video Store Discount Bin.,Ninja Assassin
1186367,Lets be honest killing is this films business... and business is good.,Ninja Assassin
1186367,McTeigue can barely shoot straight and the editing is so hack-y you have to take the stunts and fight choreography on faith.,Ninja Assassin
114168,Performed to the hilt by Flanery and filmed with conviction by Victor Salva the movie is finally too solemn to survive its pushy musical strings.,Powder
113627,Were not talking high morally instructive tragedy here just a hard lesson in postmodernist outlawry and its sad little anarchies.,Leaving Las Vegas
113627,The film pulls no punches takes no prisoners and flies in the face of feel-good pictures.,Leaving Las Vegas
113627,The plot goes nowhere but under the pornographic circumstances Figgis Cage and Shue all do fine jobs.,Leaving Las Vegas
113627,It certainly has the courage of its convictions.,Leaving Las Vegas
113627,Small searing film.,Leaving Las Vegas
113627,A uniquely hypnotic and haunting love story sparked by Nicolas Cage and Elisabeth Shue at their career best.,Leaving Las Vegas
113627,A film laden with virtues but difficult to embrace.,Leaving Las Vegas
113627,Nicolas Cage who has a track record of immersing himself in parts gives one of the years most powerful acting turns.,Leaving Las Vegas
113627,Cage a resourceful and daring actor has never been better.,Leaving Las Vegas
113627,Tough to watch but haunting enough to deserve its initial praise.,Leaving Las Vegas
114057,A highly engaging attempt at Shakespeares most domestic tragedy.,Othello
114057,Mr. Branaghs superb performance...guarantees this film an immediacy that any audience will understand.,Othello
114057,Davies has done an admirable job of condensing the sprawling action.,Othello
114057,Parker has shown how involving and moving Shakespeare can still be on the screen.,Othello
114057,Parker whose screenplay strips down the original play merely produces a lackluster essence.,Othello
114057,For sheer impact this Othello can stand side-by-side with the versions brought to the screen by Orson Welles (as restored in 1992) and Lawrence Olivier.,Othello
114057,The movie is roughly on the same cinematic level as the Mel Gibson Hamlet though it tends to get under your skin a little more once it gets rolling.,Othello
114057,... Will not give its viewers much of an idea of the Shakespeare play and may inadvertently give them other ideas about interracial love that were not much on Shakespeares mind.,Othello
114057,Passion like outpourings of iambic pentameter isnt part of this pictures equation.,Othello
114057,The real question is could director Oliver Parker have done worse?,Othello
114011,Now and Then is successful but only now and then.,Now and Then
114117,The film offers the same pleasures as an Austen novel as the audience sinks into a comforting orderly world where life-shattering disruptions are handled with elegant ease.,Persuasion
114117,Austen fans: Prepare to be swept away.,Persuasion
114117,Michells approach to Persuasion indicates that he is the rarest of literary translators -- one who is genuinely interested in a works themes its characters and what the author has to say about the world in which they exist.,Persuasion
114117,Theres a wonderful unhurried delicacy about Persuasion Roger Mitchells adaptation of Jane Austens final novel.,Persuasion
114117,Persuasion is Jane without pain E-Z Austen. Its a delight.,Persuasion
114117,Much of the movies emotional work has to be done by...faces and eyes while other people speak of other things and to see that happening is frustrating because it happens so slowly and romantic because it happens at all.,Persuasion
114117,Vanessa Redgrave has never been more likable on screen than in her buoyantly athletic turn here.,Persuasion
112682,Set in a wondrously seedy waterfront world populated with runaway children and grotesque sinister adults it glistens with dense fantasies technological feats that make the catch-phrase state of the art seem antique.,The City of Lost Children (La Cite des Enfants Perdus)
112682,The emotions seem almost as manufactured as the sets.,The City of Lost Children (La Cite des Enfants Perdus)
112682,With each frame filled to bursting point with visual detail and multiplaned design plus razor-sharp cutting that often eliminates transitions its not a movie you can afford to take your eyes off for a second.,The City of Lost Children (La Cite des Enfants Perdus)
112682,Extraordinary.,The City of Lost Children (La Cite des Enfants Perdus)
112682,Watching the film is like leafing through a giant sketchbook crammed with intriguing ideas that cant all be comfortably fitted into the same master plan.,The City of Lost Children (La Cite des Enfants Perdus)
112682,The City of Lost Children is a stunningly surreal fantasy a fable of longing and danger of heroic deeds and bravery set in a brilliantly realized world of its own. It is one of the most audacious original films of the year.,The City of Lost Children (La Cite des Enfants Perdus)
112682,The City of Lost Children is a series of associated visual stimuli so imaginative and omnivorous that their spectacle has the effect of wearing us out. Nevertheless if you think of yourself as warped you really must see this.,The City of Lost Children (La Cite des Enfants Perdus)
112682,The City of Lost Children is as visually striking and daringly offbeat as its predecessor.,The City of Lost Children (La Cite des Enfants Perdus)
112682,Children hasnt enough of a human dimension to be fun itself but its still warped enough to amuse anyone with a tilted frame of mind.,The City of Lost Children (La Cite des Enfants Perdus)
112682,The French fantasy adventure The City of Lost Children is a dark phantasmagoria so visually amazing and provocative -- yet dense and confusing -- that viewers may need to see it more than once to take it all in.,The City of Lost Children (La Cite des Enfants Perdus)
112682,Many people will probably not find themselves sympathetic to this movies overachieving technological pretensions while others will find it the best film in months or years.,The City of Lost Children (La Cite des Enfants Perdus)
115012,Shanghai Triad concludes the sublime seven-movie collaboration of Chinese filmmaker Zhang Yimou and actress Gong Li with a bang worthy of the most jubilant New Years Eve.,Shanghai Triad (Yao a yao yao dao waipo qiao)
112792,Pfeiffer gives a funny scrappy performance that makes you feel a committed teachers fire to make a difference.,Dangerous Minds
112792,The tale screenwriter Ronald Bass came up with and the way director John N. Smith tells it is stereotypical predictable and simplified to the point of meaninglessness.,Dangerous Minds
112792,If only the filmmakers had used some subtlety in telling the story they could have done right by the real LouAnne Johnson.,Dangerous Minds
112792,What makes it work is the integrity of Pfeiffers performance and Smiths direction and the high spirits of the young racially diverse supporting cast.,Dangerous Minds
112792,The movie pretends to show poor black kids being bribed into literacy by Dylan and candy bars but actually it is the crossover white audience that is being bribed with mind-candy in the form of safe words by the two Dylans.,Dangerous Minds
112792,A no-frills single-minded drama driven by Pfeiffers totally committed performance.,Dangerous Minds
112792,The movie has real emotional and reportorial credibility a prime source of its power.,Dangerous Minds
112792,Pfeiffer has a lot of good moments as Johnson.,Dangerous Minds
112792,Stay home and watch Welcome Back Kotter. Its more enlightening.,Dangerous Minds
112792,Pfieffer is absurdly miscast: Sly Stallone would make a more plausible Mr. Chips than the frail squeaky actress does a nine-year veteran of the Marine Corps.,Dangerous Minds
114952,This 40-minute epic about mountain survival in the wake of a plane crash is like sitting through Alive again though in this case there isnt anything for the hero to eat.,Wings of Courage
112431,Babe is not strictly speaking a kids movie. It is a preposterously funny fable that strikes a chord with adults too.,Babe
112431,For children the movie will play like a storybook come to life. Adults at first will marvel at the special effects and puppetry. But ultimately theyll be won over by the nuances of a story that finds a fresh way to deliver a timeless message.,Babe
112431,A film that is exceptional in its technical effects and its graceful ability to entertain.,Babe
112431,[Its] a comedy of animal manners that is much funnier and much cannier than any recent movie about human relationships: a lovely stubbornly idiosyncratic fable of aspiration and survival.,Babe
112431,It has a surprising charm.,Babe
112431,Australian director Chris Noonan and producer George Miller show what real talent and imagination can do even without big-name humans as costars.,Babe
112431,The characters (both animal and human) are solidly conceived and the storytelling and visuals are expertly fashioned.,Babe
112431,A dazzling family entertainment with enormous charm that utilizes breathtaking technical innovation.,Babe
112431,Charming eccentric and very amusing.,Babe
112431,A lovely intelligent gem of G-rated entertainment that is also rib-tickling funny.,Babe
112431,If only people would be more like these animals the world though hardly saner would certainly be a lot more fun.,Babe
112431,The underlying tricks are never allowed to upstage the story in all its humble sweetness.,Babe
112431,A silk purse among childrens entertainment.,Babe
112431,The movie directed by Chris Noonan who wrote the screenplay with George Miller takes a childs-eye view of a world that is photographed to look like a storybook come to life.,Babe
